key,"am","ar","bn","de","en","es","fa","fr","hi","it","ja","ko","my","pt","ru","so","tr","uk","ur","zh"
expiry.date,"የሚያልቅ ወይም የማንኛውም የማጣራት ቀን","تاريخ انتهاء الصلاحية / المراجعة","মেয়াদ শেষ / পর্যালোচনা তারিখ","Ablaufdatum / Überprüfungsdatum","Expiry / Review Date","Fecha de Vencimiento / Revisión","تاریخ انقضا / بازبینی","Date d'Expiration / Révision","समाप्ति / समीक्षा तिथि","Data di Scadenza / Revisione","有効期限 / 確認日","만료일 / 점검일","သက်တမ်းကုန်ဆုံးမှု / ပြန်လည်သုံးသပ်မှု ရက်စွဲ","Data de Validade / Revisão","Срок годности / Дата проверки","Taariikhda dhamaadka / Taariikhda dib u eegisay","Son Kullanma Tarihi","Термін придатності / Дата перевірки","مدت ختم / جائزہ تاریخ","过期/检查日期"
food,"ምግብ","طعام","খাবার","Lebensmittel","Food","Alimentos","غذا","Nourriture","भोजन","Cibo","食料","식량","အစားအစာ","Alimentos","Еда","Xalwo","Gıda","Їжа","کھانا","食物"
forest.fire,"የደን እሳት: 112","حرائق الغابات: 112","বন দাবানল: 112","Waldbrand: 112","Forest Fire: 112","Incendio Forestal: 112","آتش‌سوزی جنگل: 112","Feu de Forêt : 112","वन आग: 112","Incendio Boschivo: 112","森林火災: 112","산불: 112","သစ်တောမီး: 112","Incêndio Florestal: 112","Лесной пожар: 112","Dagaalka Geedaha: 112","Orman Yangını: 112","Лісова пожежа: 112","جنگل کی آگ: 112","森林火灾：112"
form.error.datePast,,,,,"Please choose a future date",,,,,,,,,,,,"Geçmiş bir tarih seçemezsiniz",,,
form.error.reminderAfterExpiry,,,,,"Reminder date must be before the expiry date",,,,,,,,,,,,"Hatırlatma tarihi SKT'den sonra olamaz",,,
form.error.required,,,,,"This field is required",,,,,,,,,,,,"Bu alan zorunludur",,,
home.alert.message,,,,,"Some items need attention. Please review your kits.",,,,,,,,,,,,"Bazı öğeler dikkat gerektiriyor. Lütfen çantalarınızı kontrol edin.",,,
home.alert.title,,,,,"Emergency Alert",,,,,,,,,,,,"Acil Uyarı",,,
home.alerts.critical,"Critical Alerts","Critical Alerts","Critical Alerts","Kritische Warnungen","Critical Alerts","Alertas Críticas","Critical Alerts","Alertes Critiques","Critical Alerts","Avvisi Critici","重大な警告","Critical Alerts","Critical Alerts","Alertas Críticos","Критические оповещения","Critical Alerts","Kritik Uyarılar","Критичні попередження",,
home.alerts.critical.description,"{expired} items have expired. {outOfStock} items are out of stock.","{expired} items have expired. {outOfStock} items are out of stock.","{expired} items have expired. {outOfStock} items are out of stock.","{expired} Artikel sind abgelaufen. {outOfStock} Artikel sind nicht auf Lager.","{expired} items have expired. {outOfStock} items are out of stock.","{expired} artículos han vencido. {outOfStock} artículos están sin stock.","{expired} items have expired. {outOfStock} items are out of stock.","{expired} articles ont expiré. {outOfStock} articles sont en rupture.","{expired} items have expired. {outOfStock} items are out of stock.","{expired} articoli sono scaduti. {outOfStock} articoli sono esauriti.","{expired} 件のアイテムの期限が切れました。{outOfStock} 件のアイテムが在庫切れです。","{expired} items have expired. {outOfStock} items are out of stock.","{expired} items have expired. {outOfStock} items are out of stock.","{expired} itens estão vencidos. {outOfStock} itens estão sem estoque.","{expired} товаров просрочены. {outOfStock} товаров нет в наличии.","{expired} items have expired. {outOfStock} items are out of stock.","{expired} ürünün son kullanma tarihi geçti. {outOfStock} ürünün stoğu tükendi.","{expired} товарів прострочено. {outOfStock} товарів немає в запасі.",,
home.alerts.empty,"No alerts to review right now.","No alerts to review right now.","No alerts to review right now.","Derzeit keine Warnungen zum Prüfen.","No alerts to review right now.","No hay alertas para revisar ahora mismo.","No alerts to review right now.","Aucune alerte à consulter pour le moment.","No alerts to review right now.","Nessun avviso da controllare al momento.","確認が必要なアラートはありません。","No alerts to review right now.","No alerts to review right now.","Nenhum alerta para revisar agora.","Сейчас нет оповещений для проверки.","No alerts to review right now.","Kontrol edilmesi gereken herhangi bir ürün yok.","Немає попереджень для перегляду.",,
home.alerts.expiring,"Upcoming Expirations","Upcoming Expirations","Upcoming Expirations","Bevorstehende Abläufe","Upcoming Expirations","Vencimientos Próximos","Upcoming Expirations","Échéances Proches","Upcoming Expirations","Scadenze Imminenti","期限が近いアイテム","Upcoming Expirations","Upcoming Expirations","Vencimentos Próximos","Сроки истекают","Upcoming Expirations","Yaklaşan Son Kullanma Tarihleri","Наближення терміну придатності",,
home.alerts.expiring.description,"{count} items need attention soon.","{count} items need attention soon.","{count} items need attention soon.","{count} Artikel benötigen bald Ihre Aufmerksamkeit.","{count} items need attention soon.","{count} artículos necesitan atención pronto.","{count} items need attention soon.","{count} articles nécessitent votre attention bientôt.","{count} items need attention soon.","{count} articoli richiedono attenzione a breve.","{count} 件のアイテムに注意が必要です。","{count} items need attention soon.","{count} items need attention soon.","{count} itens precisam de atenção em breve.","{count} товаров вскоре потребуют внимания.","{count} items need attention soon.","{count} ürünün son kullanma tarihi yaklaşıyor.","{count} товарів потребують уваги найближчим часом.",,
home.alerts.modalTitle,"Emergency Alerts","Emergency Alerts","Emergency Alerts","Notfallwarnungen","Emergency Alerts","Alertas de Emergencia","Emergency Alerts","Alertes d'Urgence","Emergency Alerts","Avvisi di Emergenza","緊急アラート","Emergency Alerts","Emergency Alerts","Alertas de Emergência","Экстренные оповещения","Emergency Alerts","Acil Uyarılar","Екстрені попередження",,
home.alerts.safe,"All Clear","All Clear","All Clear","Alles in Ordnung","All Clear","Todo en Orden","All Clear","Tout est OK","All Clear","Tutto in Ordine","すべて正常","All Clear","All Clear","Tudo em Ordem","Всё в порядке","All Clear","Her Şey Yolunda","Все під контролем",,
home.alerts.safe.description,"Everything is up to date.","Everything is up to date.","Everything is up to date.","Alle Artikel sind aktuell.","Everything is up to date.","Todos los artículos están al día.","Everything is up to date.","Tous les articles sont à jour.","Everything is up to date.","Tutti gli articoli sono aggiornati.","すべてのアイテムは最新です。","Everything is up to date.","Everything is up to date.","Todos os itens estão atualizados.","Все товары актуальны.","Everything is up to date.","Tüm ürünler güncel durumda.","Усі товари актуальні.",,
home.header,"Home","Home","Home","Startseite","Home","Inicio","Home","Accueil","Home","Home","ホーム","Home","Home","Início","Главная","Home","Ana Sayfa","Головна",,
home.overview.title,"Overview","Overview","Overview","Überblick","Overview","Resumen","Overview","Aperçu","Overview","Panoramica","概要","Overview","Overview","Visão Geral","Обзор","Overview","Genel Bakış","Огляд",,
home.quickActions,"Quick Actions","Quick Actions","Quick Actions","Schnellaktionen","Quick Actions","Acciones Rápidas","Quick Actions","Actions Rapides","Quick Actions","Azioni Rapide","クイックアクション","Quick Actions","Quick Actions","Ações Rápidas","Быстрые действия","Quick Actions","Hızlı İşlemler","Швидкі дії",,
home.quickActions.addProduct,"Add Product","Add Product","Add Product","Produkt hinzufügen","Add Product","Agregar Producto","Add Product","Ajouter Produit","Add Product","Aggiungi Prodotto","アイテムを追加","Add Product","Add Product","Adicionar Produto","Добавить товар","Add Product","Ürün Ekle","Додати товар",,
home.quickActions.capture,"Capture Photo","Capture Photo","Capture Photo","Foto aufnehmen","Capture Photo","Tomar Foto","Capture Photo","Prendre Photo","Capture Photo","Scatta Foto","写真を撮る","Capture Photo","Capture Photo","Capturar Foto","Сделать фото","Capture Photo","Fotoğraf Çek","Зняти фото",,
home.quickActions.inventory,"Manage Inventory","Manage Inventory","Manage Inventory","Bestand verwalten","Manage Inventory","Gestionar Inventario","Manage Inventory","Gérer Inventaire","Manage Inventory","Gestisci Scorte","在庫を管理","Manage Inventory","Manage Inventory","Gerenciar Estoque","Управлять запасами","Manage Inventory","Stok Yönetimi","Керувати запасами",,
home.stats.bags,"Bags","Bags","Bags","Taschen","Bags","Bolsas","Bags","Sacs","Bags","Borse","バッグ","Bags","Bags","Bolsas","Сумки","Bags","Çantalar","Сумки",,
home.stats.expired,"Expired Items","Expired Items","Expired Items","Abgelaufen","Expired Items","Vencidos","Expired Items","Expirés","Expired Items","Scaduti","期限切れ","Expired Items","Expired Items","Vencidos","Просрочены","Expired Items","Süresi dolan","Прострочено",,
home.stats.expiring,"Expiring Soon","Expiring Soon","Expiring Soon","Laufen bald ab","Expiring Soon","Vence Pronto","Expiring Soon","Expire Bientôt","Expiring Soon","In Scadenza","まもなく期限","Expiring Soon","Expiring Soon","Vencendo","Скоро истекают","Expiring Soon","Yakında süresi dolacak","Скоро закінчаться",,
home.stats.outOfStock,,,,,"Out of Stock",,,,,,,,,,,,"Stoğu Tükendi",,,
home.stats.products,"Products","Products","Products","Produkte","Products","Productos","Products","Produits","Products","Prodotti","アイテム","Products","Products","Produtos","Товары","Products","Ürünler","Товари",,
home.title,"የእኔ የአስቸኳይ ጥቅል","حقيبة الطوارئ الخاصة بي","আমার জরুরি কিট","Mein Notfallset","My Emergency Kit","Mi Kit de Emergencia","کیت اضطراری من","Mon Kit d'Urgence","मेरा आपातकालीन किट","Il Mio Kit di Emergenza","私の非常用キット","내 비상 키트","ကျွန်တော့် အရေးပေါ်ကိရိယာ","Meu Kit de Emergência","Моя аварийная сумка","Kitaabkayga Xaalad-dhaafka ah","Acil Durum Çantam","Мій аварійний комплект","میرا ہنگامی کٹ","我的应急包"
info.file.delete,,,,,"Delete",,,,,,,,,,,,"Sil",,,
info.file.deleteSnack,,,,,"File deleted!",,,,,,,,,,,,"Dosya silindi!",,,
info.file.download,,,,,"Download",,,,,,,,,,,,"İndir",,,
info.file.downloadSnack,,,,,"Downloading file...",,,,,,,,,,,,"Dosya indiriliyor...",,,
info.filesTitle,,,,,"My Files",,,,,,,,,,,,"Dosyalarım",,,
info.uploadButton,,,,,"Upload File",,,,,,,,,,,,"Dosya Yükle",,,
info.uploadSnack,,,,,"File upload feature coming soon!",,,,,,,,,,,,"Dosya yükleme özelliği yakında gelecek!",,,
items.count,"{count} እቃዎች","{count} عنصر","{count}টি আইটেম","{count} Artikel","{count} items","{count} artículos","{count} مورد","{count} articles","{count} आइटम","{count} oggetti","{count}個のアイテム","{count}개 항목","ပစ္စည်း {count} ခု",,"{count} товаров","{count} shay","{count} ürün","{count} товарів","{count} آئٹمز","{count}件物品"
language.amharic,"አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ",,"አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ","አማርኛ"
language.arabic,"العربية","العربية","العربية","العربية","العربية","العربية","العربية","العربية","العربية","العربية","العربية","العربية","العربية",,"العربية","العربية","العربية","العربية","العربية","العربية"
language.bengali,"বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা",,"বাংলা","বাংলা","বাংলা","বাংলা","বাংলা","বাংলা"
language.chinese,"中文","中文","中文","中文","中文","中文","中文","中文","中文","中文","中文","中文","中文",,"中文","中文","中文","中文","中文","中文"
language.english,"English","English","English","English","English","English","English","English","English","English","English","English","English",,"English","English","English","English","English","English"
language.french,"Français","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français",,"Français","Français","Français","Français","Français","Français"
language.german,"Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch",,"Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch"
language.hindi,"हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी",,"हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी","हिन्दी"
language.italian,"Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano",,"Italiano","Italiano","Italiano","Italiano","Italiano","Italiano"
language.japanese,"日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語",,"日本語","日本語","日本語","日本語","日本語","日本語"
language.korean,"한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어",,"한국어","한국어","한국어","한국어","한국어","한국어"
language.myanmar,"မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ",,"မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ","မြန်မာ"
language.persian,"فارسی","فارسی","فارسی","فارسی","فارسی","فارسی","فارسی","فارسی","فارसی","فارسی","فارسی","فارسی","فارسی",,"فارسی","فارسی","فارسی","فارسی","فارسی","فارسی"
language.portuguese,"Português","Português","Português","Português","Português","Português","Português","Português","Português","Português","Português","Português","Português",,"Português","Português","Português","Português","Português","Português"
language.russian,"Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский","Русский",,"Русский","Русский","Русский","Русский","Русский","Русский"
language.somali,"Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali",,"Soomaali","Soomaali","Soomaali","Soomaali","Soomaali","Soomaali"
language.spanish,"Español","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español",,"Español","Español","Español","Español","Español","Español"
language.turkish,"Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe",,"Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe"
language.ukrainian,"Українська","Українська","Українська","Українська","Українська","Українська","Українська","Українська","Українська","Українська","Українська","Українська","Українська",,"Українська","Українська","Українська","Українська","Українська","Українська"
language.urdu,"اردو","اردو","اردو","اردو","اردو","اردو","اردو","اردو","اردو","اردو","اردو","اردو","اردو",,"اردو","اردو","اردو","اردو","اردو","اردو"
location.note,"የአካባቢ ማስታወሻ","ملاحظة الموقع","অবস্থান নোট","Standortnotiz","Location Note","Nota de Ubicación","یادداشت موقعیت","Note d'Emplacement","स्थान नोट","Nota Posizione","場所メモ","위치 메모","တည်နေရာမှတ်စု","Nota de Localização","Местоположение","Fiiro gaar ah ee goobta","Konum Notu","Примітка про місцезнаходження","مقام کا نوٹ","位置备注"
management.add.button,,,,,"Add new category",,,,,,,,,,,,"Yeni kategori ekle",,,
management.add.dialog.action,,,,,"Add",,,,,,,,,,,,"Ekle",,,
management.add.dialog.error.duplicate,,,,,"This category already exists.",,,,,,,,,,,,"Bu kategori zaten mevcut.",,,
management.add.dialog.error.length,,,,,"Category name must be at least 2 characters.",,,,,,,,,,,,"Kategori adı en az 2 karakter olmalı.",,,
management.add.dialog.hint,,,,,"Category name",,,,,,,,,,,,"Kategori adı",,,
management.add.dialog.title,,,,,"Add new category",,,,,,,,,,,,"Yeni kategori ekle",,,
management.add.success,,,,,"{name} category added.",,,,,,,,,,,,"{name} kategorisi eklendi.",,,
management.custom.empty,,,,,"You have not added any custom categories yet.",,,,,,,,,,,,"Henüz özel kategori eklemediniz.",,,
management.custom.subtitle,,,,,"Add categories tailored to your needs.",,,,,,,,,,,,"Kendi ihtiyaçlarınıza uygun kategoriler ekleyin.",,,
management.custom.title,,,,,"Custom Categories",,,,,,,,,,,,"Özel Kategoriler",,,
management.delete.action,,,,,"Delete Category",,,,,,,,,,,,"Kategoriyi Sil",,,
management.delete.cancel,,,,,"Cancel",,,,,,,,,,,,"İptal",,,
management.delete.confirm,,,,,"Are you sure you want to delete ""{name}""?",,,,,,,,,,,,"""{name}"" kategorisini silmek istediğinize emin misiniz?",,,
management.fixed.count,,,,,"{count} categories",,,,,,,,,,,,"{count} kategori",,,
management.fixed.description,,,,,"These categories are defined by the memory bank and cannot be edited.",,,,,,,,,,,,"Bu kategoriler hafıza bankası gereği sabittir ve değiştirilemez.",,,
management.fixed.title,,,,,"Fixed Categories",,,,,,,,,,,,"Sabit Kategoriler",,,
management.stats.products,,,,,"{count} items",,,,,,,,,,,,"{count} ürün",,,
management.subtitle,,,,,"Organize categories and keep your stock classification under control.",,,,,,,,,,,,"Kategorileri düzenleyin ve stok sınıflandırmasını kontrol edin.",,,
management.title,,,,,"Management Panel",,,,,,,,,,,,"Yönetim Paneli",,,
medical,"ሕክምና","طبي","চিকিৎসা","Medizinisch","Medical","Médico","پزشکی","Médical","चिकित्सा","Medico","医療","의료","ဆေးဘက်ဆိုင်ရာ","Médico","Медицина","Cilmiga","Tıbbi","Медичний","طبی","医疗"
nav.bags,"ቦርሳዎች","الحقائب","ব্যাগ","Taschen","Bags","Bolsas","کیف‌ها","Sacs","बैग्स","Borse","バッグ","가방","အိတ်များ","Bolsas","Сумки","Kiishashada","Çantalar","Сумки","بیگز","包袋"
nav.depot,"መጋዘን","المستودع","ডিপো","Depot","Depot","Depósito","انبار","Dépôt","डिपो","Deposito","倉庫","창고","ကုန်လှောင်ရုံ","Depósito","Склад","Bakhaarrada","Depo","Склад","ڈپو","仓库"
nav.home,"ቤት","الرئيسية","হোম","Startseite","Home","Inicio","خانه","Accueil","होम","Home","ホーム","홈","မူလစာမျက်နှာ","Início","Главная","Guriga","Ana Sayfa","Головна","ہوم","首页"
nav.info,"መረጃ","معلومات","তথ্য","Info","Info","Info","اطلاعات","Info","जानकारी","Info","情報","정보","အချက်အလက်","Informações","Информация","Macluumaadka","Bilgi","Інформація","معلومات","信息"
nav.products,"ምርቶች","المنتجات","পণ্য","Produkte","Products","Productos","محصولات","Produits","उत्पाद","Prodotti","製品","제품","ကုန်ပစ္စည်းများ","Produtos","Товары","Alaabooyinka","Ürünler","Продукти","مصنوعات","产品"
nav.settings,"ቅንብሮች","الإعدادات","সেটিংস","Einstellungen","Settings","Ajustes","تنظیمات","Paramètres","सेटिंग्स","Impostazioni","設定","설정","ဆက်တင်များ","Configurações","Настройки","Dejinta","Ayarlar","Налаштування","ترتیبات","设置"
newProduct.category.custom.create,,,,,"Add",,,,,,,,,,,,"Ekle",,,
newProduct.category.custom.error.duplicate,,,,,"This category already exists",,,,,,,,,,,,"Bu kategori zaten mevcut",,,
newProduct.category.custom.error.length,,,,,"Category name must be at least 2 characters",,,,,,,,,,,,"Kategori adı en az 2 karakter olmalı",,,
newProduct.category.custom.hint,,,,,"Enter category name",,,,,,,,,,,,"Kategori adını girin",,,
newProduct.category.custom.title,,,,,"New category",,,,,,,,,,,,"Yeni kategori",,,
newProduct.category.label,"Category","Category","Category","Kategorie","Category","Categoría","Category","Catégorie","Category","Categoria","カテゴリ","Category","Category","Categoria","Категория","Category","Kategori","Категорія",,
newProduct.edit.title,,,,,"Edit Product",,,,,,,,,,,,"Ürünü Düzenle",,,
newProduct.expiry.label,"Expiry Date","Expiry Date","Expiry Date","Ablaufdatum","Expiry Date","Fecha de Vencimiento","Expiry Date","Date d'expiration","Expiry Date","Data di Scadenza","有効期限","Expiry Date","Expiry Date","Data de Vencimento","Срок годности","Expiry Date","Son Kullanma Tarihi","Термін придатності",,
newProduct.expiry.placeholder,"Select a date","Select a date","Select a date","Datum auswählen","Select a date","Selecciona una fecha","Select a date","Sélectionnez une date","Select a date","Seleziona una data","日付を選択","Select a date","Select a date","Selecione uma data","Выберите дату","Select a date","Tarih seçin","Оберіть дату",,
newProduct.image.actions.camera,,,,,"Camera",,,,,,,,,,,,"Kamera",,,
newProduct.image.actions.gallery,,,,,"Gallery",,,,,,,,,,,,"Galeri",,,
newProduct.image.actions.remove,,,,,"Remove photo",,,,,,,,,,,,"Fotoğrafı kaldır",,,
newProduct.image.actions.title,,,,,"Choose photo",,,,,,,,,,,,"Fotoğraf seç",,,
newProduct.image.captured,"Photo attached. Fill in the remaining fields.","Photo attached. Fill in the remaining fields.","Photo attached. Fill in the remaining fields.","Foto hinzugefügt. Bitte restliche Angaben ausfüllen.","Photo attached. Fill in the remaining fields.","Foto adjunta. Completa el resto de la información.","Photo attached. Fill in the remaining fields.","Photo ajoutée. Complétez les autres informations.","Photo attached. Fill in the remaining fields.","Foto aggiunta. Completa le altre informazioni.","写真が追加されました。残りの情報を入力してください。","Photo attached. Fill in the remaining fields.","Photo attached. Fill in the remaining fields.","Foto adicionada. Complete as demais informações.","Фото добавлено. Заполните оставшиеся поля.","Photo attached. Fill in the remaining fields.","Fotoğraf başarıyla eklendi. Diğer bilgileri tamamlayın.","Фото додано. Заповніть решту полів.",,
newProduct.image.helper,"Add product visuals here","Add product visuals here","Add product visuals here","Fügen Sie hier Produktbilder hinzu","Add product visuals here","Agrega imágenes del producto aquí","Add product visuals here","Ajoutez des visuels du produit ici","Add product visuals here","Aggiungi qui le immagini del prodotto","ここに製品写真を追加してください","Add product visuals here","Add product visuals here","Adicione imagens do produto aqui","Добавьте изображения товара здесь","Add product visuals here","Ürün görsellerini buradan ekleyin","Додайте зображення товару тут",,
newProduct.image.label,"Product Image","Product Image","Product Image","Produktbild","Product Image","Imagen del Producto","Product Image","Image du produit","Product Image","Immagine Prodotto","アイテム写真","Product Image","Product Image","Imagem do Produto","Изображение товара","Product Image","Ürün Fotoğrafı","Зображення товару",,
newProduct.location.hint,"Where is this product stored?","Where is this product stored?","Where is this product stored?","Wo wird dieses Produkt gelagert?","Where is this product stored?","¿Dónde se almacena este producto?","Where is this product stored?","Où est stocké ce produit ?","Where is this product stored?","Dove è conservato il prodotto?","このアイテムはどこにありますか？","Where is this product stored?","Where is this product stored?","Onde este produto está armazenado?","Где хранится этот товар?","Where is this product stored?","Ürünün bulunduğu konumu yazın","Де зберігається цей товар?",,
newProduct.location.label,"Location","Location","Location","Standort","Location","Ubicación","Location","Emplacement","Location","Posizione","保管場所","Location","Location","Local","Местоположение","Location","Konum","Місцезнаходження",,
newProduct.name.hint,"Enter the product name","Enter the product name","Enter the product name","Geben Sie den Produktnamen ein","Enter the product name","Ingresa el nombre del producto","Enter the product name","Saisissez le nom du produit","Enter the product name","Inserisci il nome del prodotto","アイテム名を入力","Enter the product name","Enter the product name","Informe o nome do produto","Введите название товара","Enter the product name","Ürünün adını girin","Введіть назву товару",,
newProduct.name.label,"Product Name","Product Name","Product Name","Produktname","Product Name","Nombre del Producto","Product Name","Nom du produit","Product Name","Nome Prodotto","アイテム名","Product Name","Product Name","Nome do Produto","Название товара","Product Name","Ürün Adı","Назва товару",,
newProduct.notes.hint,"Add an optional note","Add an optional note","Add an optional note","Fügen Sie eine optionale Notiz hinzu","Add an optional note","Agrega una nota opcional","Add an optional note","Ajoutez une note optionnelle","Add an optional note","Aggiungi una nota facoltativa","任意のメモを追加","Add an optional note","Add an optional note","Adicione uma nota opcional","Добавьте необязательную заметку","Add an optional note","Ürün hakkında not ekleyin","Додайте необов'язкову примітку",,
newProduct.notes.label,"Notes","Notes","Notes","Notizen","Notes","Notas","Notes","Notes","Notes","Note","メモ","Notes","Notes","Notas","Примечания","Notes","Notlar","Примітки",,
newProduct.pageTitle,"Add New Product","Add New Product","Add New Product","Neues Produkt","Add New Product","Nuevo Producto","Add New Product","Nouveau Produit","Add New Product","Nuovo Prodotto","新しいアイテム","Add New Product","Add New Product","Novo Produto","Новый товар","Add New Product","Yeni Ürün","Новий товар",,
newProduct.reminder.label,"Reminder Date","Reminder Date","Reminder Date","Erinnerungsdatum","Reminder Date","Fecha de Recordatorio","Reminder Date","Date de rappel","Reminder Date","Data Promemoria","リマインダー日","Reminder Date","Reminder Date","Data de Lembrete","Дата напоминания","Reminder Date","Hatırlatma Tarihi","Дата нагадування",,
newProduct.reminder.placeholder,,,,,"Select reminder date",,,,,,,,,,,,"Hatırlatma tarihi seçin",,,
newProduct.save.success,,,,,"{name} has been saved.",,,,,,,,,,,,"{name} ürünü kaydedildi.",,,
newProduct.storage.error,,,,,"Please choose where the product will be stored",,,,,,,,,,,,"Lütfen bir saklama alanı seçin",,,
newProduct.storage.label,,,,,"Storage Location",,,,,,,,,,,,"Saklama Alanı",,,
newProduct.storage.placeholder,,,,,"Select a bag or depot",,,,,,,,,,,,"Çanta veya depo seçin",,,
newProduct.storage.selected,,,,,"{type}: {name}",,,,,,,,,,,,"{type}: {name}",,,
newProduct.storage.sheet.bags,,,,,"Bags",,,,,,,,,,,,"Çantalar",,,
newProduct.storage.sheet.depots,,,,,"Depots",,,,,,,,,,,,"Depolar",,,
newProduct.storage.sheet.empty,,,,,"You haven't created any bags or depots yet.",,,,,,,,,,,,"Henüz hiç çanta veya depo oluşturmadınız.",,,
newProduct.storage.sheet.itemCount,,,,,"{count} items",,,,,,,,,,,,"{count} ürün",,,
newProduct.storage.sheet.title,,,,,"Pick a storage location",,,,,,,,,,,,"Saklama alanını seç",,,
newProduct.storage.type.bag,,,,,"Bag",,,,,,,,,,,,"Çanta",,,
newProduct.storage.type.depot,,,,,"Depot",,,,,,,,,,,,"Depo",,,
newProduct.update.success,,,,,"{name} has been updated.",,,,,,,,,,,,"{name} ürünü güncellendi.",,,
notes,"ማስታወሻዎች","ملاحظات","নোট","Notizen","Notes","Notas","یادداشت‌ها","Notes","नोट्स","Note","メモ","메모","မှတ်စုများ","Notas","Примечания","Fiiro gaar ah","Notlar","Примітки","نوٹس","备注"
notification.days.before,"የሚያልቅ ቀን ከመጣ በፊት ስንት ቀናት ማስታወሻ ይሰጥ?","تذكير بعدد الأيام قبل انتهاء الصلاحية؟","মেয়াদ শেষ হওয়ার কত দিন আগে রিমাইন্ডার দেবেন?","Wie viele Tage vor Ablauf erinnern?","Remind how many days before expiry?","¿Recordar cuántos días antes del vencimiento?","چند روز قبل از انقضا یادآوری شود؟","Rappeler combien de jours avant expiration ?","समाप्ति से कितने दिन पहले अनुस्मारक दें?","Ricorda quanti giorni prima della scadenza?","期限の何日前にリマインドしますか？","만료 며칠 전에 알림을 받을까요?","သက်တမ်းကုန်မည့်ရက်မတိုင်မီ ဘယ်နှစ်ရက်အလိုတွင် အသိပေးမလဲ။","Lembrar quantos dias antes do vencimento?","Напоминать за сколько дней до истечения срока?","Ka hor taariikhda dhamaadka, kiiyaal maalmood ka hor xusuusin?","Hatırlatma kaç gün önceden gelsin?","Нагадувати за скільки днів до закінчення терміну?","مدت ختم ہونے سے کتنے دن پہلے یاد دہانی کریں؟","过期前多少天提醒？"
notifications.stockAlert.expired,,,,,"{count} items have expired.",,,,,,,,,,,,"{count} ürünün son kullanma tarihi geçti.",,,
notifications.stockAlert.missing,,,,,"{count} items are out of stock.",,,,,,,,,,,,"{count} ürünün stoğu tükendi.",,,
notifications.stockAlert.title,,,,,"Emergency Stock Alert",,,,,,,,,,,,"Acil Durum Uyarısı",,,
notifications.weeklyReminder.body,,,,,"Remember to review your kits and emergency supplies.",,,,,,,,,,,,"Çantalarınızı ve stoklarınızı gözden geçirmeyi unutmayın.",,,
notifications.weeklyReminder.title,,,,,"Emergency Preparedness Check",,,,,,,,,,,,"Acil Durum Kontrolü",,,
photoCapture.button,"Take Photo","Take Photo","Take Photo","Foto aufnehmen","Take Photo","Tomar Foto","Take Photo","Prendre une photo","Take Photo","Scatta Foto","写真を撮る","Take Photo","Take Photo","Tirar Foto","Сделать фото","Take Photo","Fotoğraf Çek","Зняти фото",,
